method,seed,final_clean,final_rauc,final_median_r80,final_transfer_rauc,rauc_aulc,best_rauc
uniform,30,0.8400124783294409,0.4900727897496215,0.5103767314697484,0.31120769219113403,0.37220563798875866,0.4900727897496215
uniform,31,0.8379610224037388,0.48606300037654443,0.5025063729005184,0.309123110163072,0.3717193216535568,0.48606300037654443
uniform,32,0.8368667410536693,0.4816451119059832,0.503019853544938,0.30607978987937584,0.3700031153525616,0.4816451119059832
uniform,33,0.8349415818149682,0.4830469524842756,0.5015348204768435,0.3131783969853644,0.3715457538792901,0.4830469524842756
uniform,34,0.8372844008203326,0.490745502948014,0.5076426396564969,0.30960025090705773,0.37657698223934694,0.490745502948014
uniform,35,0.8340018306364366,0.4820512799245988,0.4980859269928701,0.30462754096623146,0.3677647394407527,0.4820512799245988
uniform,36,0.8325164257302754,0.4793115663968347,0.500506799913709,0.3067333597634659,0.3684336000603802,0.4793115663968347
uniform,37,0.8426450701363277,0.4878715273967941,0.5080325160183399,0.30420868833341835,0.37019021792767115,0.4878715273967941
uniform,38,0.8312730335427687,0.47972841255003357,0.5021728832364007,0.30696284487758674,0.36615919442305117,0.47972841255003357
uniform,39,0.8376599260264019,0.4915097483361977,0.5150277355164711,0.3121495541032946,0.3768937656294133,0.4915097483361977
uniform,40,0.8358696982513943,0.47988420421434325,0.4945503888793096,0.30871899682585824,0.3693046888198074,0.47988420421434325
uniform,41,0.8360778564880076,0.48453090589973513,0.5048463247926478,0.3064956455053146,0.36812754879208276,0.48453090589973513
uniform,42,0.8383546294099217,0.48575042726279166,0.5133223908639395,0.312549201231645,0.37450558091217667,0.48575042726279166
uniform,43,0.8385679840726584,0.4849663377069916,0.505036122733433,0.3103129119812284,0.3734279946911462,0.4849663377069916
uniform,44,0.8436333998194325,0.49101137464682504,0.5016975092008613,0.31090689308293035,0.37368568529818097,0.49101137464682504
uniform,45,0.8329151963683468,0.4834706463546766,0.4992854489460061,0.3066032816128304,0.3715201421756812,0.4834706463546766
uniform,46,0.8309827368307701,0.4815317023844692,0.5009350892475417,0.30670384154333175,0.370296582757556,0.4815317023844692
uniform,47,0.840759287060521,0.49270114968720224,0.5053953392559706,0.3108423519694562,0.37665033681978455,0.49270114968720224
uniform,48,0.8349732361628758,0.4853103797915904,0.5059221360181859,0.31112769701440174,0.3708856552819636,0.4853103797915904
uniform,49,0.8339638845615218,0.49018023496237556,0.509750045286852,0.31178526135431156,0.3736663447814681,0.49018023496237556
uniform,50,0.8376173850502091,0.490388080470653,0.5104566185400838,0.3151826293526637,0.37741130607484125,0.490388080470653
uniform,51,0.8376372178343391,0.4905872763316342,0.5082327055562728,0.3072668041021224,0.37465583088087706,0.4905872763316342
uniform,52,0.8373262898070164,0.4842282381498469,0.5013218189312427,0.30641456276303125,0.3710060065114466,0.4842282381498469
uniform,53,0.8319857285216291,0.4820115787581919,0.5053780704360306,0.3084298245891673,0.3722191348392944,0.4820115787581919
uniform,54,0.8412643792776949,0.48804943421562424,0.5066173074602798,0.3135385299967999,0.37483770660894855,0.48804943421562424
uniform,55,0.8353427267636919,0.47611883861464327,0.49445926894953235,0.30719838459286425,0.3677028405334232,0.47611883861464327
uniform,56,0.8390379809229909,0.49105675835763607,0.5096166799928419,0.3155862497166456,0.3800657122116511,0.49105675835763607
uniform,57,0.840506794110215,0.48862379573328063,0.5056057819416868,0.30961404914802354,0.3760687251617063,0.48862379573328063
uniform,58,0.8395111828028814,0.48774292742890224,0.506771737968939,0.3136785908008958,0.3721120806767897,0.48774292742890224
uniform,59,0.838820985658068,0.48770493306415263,0.5090169643151881,0.3099590886284583,0.3736925984047689,0.48770493306415263
bgr_broad,30,0.8658307944293079,0.49950998023268656,0.504170221194975,0.3159202244135898,0.38344062333659157,0.49950998023268656
bgr_broad,31,0.8664925995002088,0.4988482272592936,0.4967330428657075,0.31672099391135655,0.3844882573754274,0.4988482272592936
bgr_broad,32,0.8631816845212702,0.4918496815647135,0.4929193220885356,0.3137801191292322,0.37957282684575505,0.4918496815647135
bgr_broad,33,0.8649951992618471,0.4977805450451339,0.5013636165756482,0.32152100396578626,0.38366925532498286,0.4977805450451339
bgr_broad,34,0.862810816339443,0.5008283221463786,0.5041175260011412,0.3158500106449023,0.386973322520198,0.5008283221463786
bgr_broad,35,0.8603415316167872,0.4931249126808871,0.4953957531112152,0.3105528278963804,0.37849519392824005,0.4931249126808871
bgr_broad,36,0.8592503398183597,0.49114202704250176,0.4911002152596201,0.31364692046846077,0.38118033179532906,0.49114202704250176
bgr_broad,37,0.870480995790136,0.5013800511049359,0.5065438193716063,0.3119806960754875,0.38519313800580374,0.5013800511049359
bgr_broad,38,0.8600389750810706,0.4942140789927503,0.5014656205705765,0.31441736522804337,0.3789571757078801,0.4942140789927503
bgr_broad,39,0.8638006135687004,0.5022386930487379,0.5098718208158849,0.31635248667403276,0.3870875901431186,0.5022386930487379
bgr_broad,40,0.8622054394709515,0.4932306990939253,0.4889663079059249,0.31647014514853294,0.38288863172433324,0.4932306990939253
bgr_broad,41,0.8664118883743619,0.4963304989954011,0.4878816028462981,0.3159973613779498,0.38089652601050533,0.4963304989954011
bgr_broad,42,0.86684772669282,0.49590501813049137,0.503126150026405,0.3141648857088452,0.38192294285727624,0.49590501813049137
bgr_broad,43,0.8659307751411276,0.4959204840497851,0.49984093048320966,0.3157862606684379,0.38416697126172983,0.4959204840497851
bgr_broad,44,0.867986535907099,0.5001456814495702,0.4972935788078306,0.320359267348203,0.38687086400814585,0.5001456814495702
bgr_broad,45,0.8598157339920525,0.4931062159016,0.49195603691209466,0.3103349691766634,0.3805602623890568,0.4931062159016
bgr_broad,46,0.8583194470338756,0.49302672942855763,0.4933786662534809,0.3142652630898789,0.3799883498740598,0.49302672942855763
bgr_broad,47,0.8646780428427577,0.5025778974988413,0.503566495188466,0.31590335495692806,0.3871731003733669,0.5025778974988413
bgr_broad,48,0.8637047718426014,0.49829637302665825,0.49596574787590186,0.31381462092150375,0.3804067365275746,0.49829637302665825
bgr_broad,49,0.8626284397789102,0.5036492658158179,0.5045199113727153,0.3152376878177155,0.385307526321204,0.5036492658158179
bgr_broad,50,0.8657238631997115,0.5011342485798225,0.5018094509673736,0.320221082943876,0.3856539167607213,0.5011342485798225
bgr_broad,51,0.8660871921186273,0.5020113022292462,0.5028037668643273,0.31590616468838917,0.38558985529273104,0.5020113022292462
bgr_broad,52,0.8634575377207744,0.4953824119874378,0.493079250550286,0.314274901634009,0.3823699328931863,0.4953824119874378
bgr_broad,53,0.8583737252412107,0.49255885546183825,0.4999367993498216,0.3114688813242541,0.3795473768770348,0.49255885546183825
bgr_broad,54,0.8685872385191563,0.5002580634057077,0.5030126714336642,0.3203835089361751,0.3882861247550417,0.5002580634057077
bgr_broad,55,0.8628035602328251,0.48933341481985715,0.4871883077980793,0.31687671363345865,0.37971958594424454,0.48933341481985715
bgr_broad,56,0.8677591313378578,0.5018714069797922,0.5023524557370276,0.32028913298340417,0.38919566594733496,0.5018714069797922
bgr_broad,57,0.8663140184159523,0.4970174689276312,0.5010090803587581,0.3148748759016648,0.3836600355256212,0.4970174689276312
bgr_broad,58,0.8652520390941884,0.4987878373734568,0.5049471061038717,0.31665942261339597,0.3835722711359821,0.4987878373734568
bgr_broad,59,0.8630194282302465,0.4955705684880987,0.5016710483832538,0.3153506171185772,0.3807811198690006,0.4955705684880987
